MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20231010,High Plains,57.12,42.88,27.48,15.26,5.44,0.97,2023-10-10,2023-10-16,1
20231010,Midwest,16.15,83.85,55.51,21.95,6.14,0.35,2023-10-10,2023-10-16,1
20231010,Northeast,83.24,16.76,2.47,0.27,0.00,0.00,2023-10-10,2023-10-16,1
20231010,South,15.63,84.37,66.02,48.72,27.77,11.61,2023-10-10,2023-10-16,1
20231010,Southeast,40.27,59.73,27.26,8.68,1.26,0.00,2023-10-10,2023-10-16,1
20231010,West,69.25,30.75,21.69,12.30,3.55,0.47,2023-10-10,2023-10-16,1
20231003,High Plains,58.24,41.76,27.47,15.69,5.46,0.97,2023-10-03,2023-10-09,1
20231003,Midwest,14.48,85.52,55.96,22.83,6.40,0.35,2023-10-03,2023-10-09,1
20231003,Northeast,82.98,17.02,2.40,0.43,0.00,0.00,2023-10-03,2023-10-09,1
20231003,South,13.31,86.69,68.61,52.04,33.03,13.96,2023-10-03,2023-10-09,1
20231003,Southeast,51.61,48.39,23.00,6.04,1.27,0.00,2023-10-03,2023-10-09,1
20231003,West,69.54,30.46,21.42,12.21,3.58,0.47,2023-10-03,2023-10-09,1
20230926,High Plains,57.69,42.31,26.84,15.07,5.46,0.97,2023-09-26,2023-10-02,1
20230926,Midwest,16.82,83.18,54.98,23.81,6.21,0.13,2023-09-26,2023-10-02,1
20230926,Northeast,88.48,11.52,1.44,0.08,0.00,0.00,2023-09-26,2023-10-02,1
20230926,South,14.12,85.88,65.66,48.95,32.88,13.48,2023-09-26,2023-10-02,1
20230926,Southeast,62.97,37.03,13.49,5.44,0.57,0.00,2023-09-26,2023-10-02,1
20230926,West,69.88,30.12,21.17,11.88,4.07,0.47,2023-09-26,2023-10-02,1
20230919,High Plains,56.65,43.35,28.88,15.92,6.24,0.99,2023-09-19,2023-09-25,1
20230919,Midwest,21.93,78.07,50.38,30.36,11.53,1.41,2023-09-19,2023-09-25,1
20230919,Northeast,86.71,13.29,2.57,0.09,0.00,0.00,2023-09-19,2023-09-25,1
20230919,South,16.27,83.73,65.50,49.20,33.99,15.00,2023-09-19,2023-09-25,1
20230919,Southeast,62.73,37.27,11.55,3.55,0.52,0.00,2023-09-19,2023-09-25,1
20230919,West,70.09,29.91,21.24,11.73,3.97,0.00,2023-09-19,2023-09-25,1
20230912,High Plains,56.15,43.85,29.16,15.92,5.83,0.47,2023-09-12,2023-09-18,1
20230912,Midwest,30.83,69.17,48.04,29.49,10.07,0.44,2023-09-12,2023-09-18,1
20230912,Northeast,92.77,7.23,2.39,0.09,0.00,0.00,2023-09-12,2023-09-18,1
20230912,South,23.20,76.80,64.20,50.46,31.32,12.74,2023-09-12,2023-09-18,1
20230912,Southeast,71.25,28.75,8.64,2.52,0.40,0.00,2023-09-12,2023-09-18,1
20230912,West,67.56,32.44,21.45,11.13,2.38,0.00,2023-09-12,2023-09-18,1
20230905,High Plains,56.36,43.64,29.35,15.83,5.84,0.47,2023-09-05,2023-09-11,1
20230905,Midwest,34.62,65.38,44.43,25.90,9.45,0.51,2023-09-05,2023-09-11,1
20230905,Northeast,92.05,7.95,2.54,0.09,0.00,0.00,2023-09-05,2023-09-11,1
20230905,South,24.03,75.97,62.42,48.10,28.86,10.36,2023-09-05,2023-09-11,1
