RegionalClimateCenterId,PercentCurrent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
1,52.77,"268,792.19",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-01-04
1,12.04,"61,343.64",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-01-04
1,6.01,"30,594.47",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-01-04
1,57.15,"291,100.58",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-01-11
1,13.47,"68,592.99",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-01-11
1,8.40,"42,765.33",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-01-11
1,70.45,"358,830.03",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-01-18
1,17.72,"90,256.66",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-01-18
1,8.40,"42,765.33",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-01-18
1,74.50,"379,480.57",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-01-25
1,17.89,"91,134.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-01-25
1,8.40,"42,765.33",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-01-25
1,61.81,"314,850.60",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-02-01
1,27.17,"138,406.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-02-01
1,9.74,"49,608.44",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-02-01
1,60.88,"310,119.24",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-02-08
1,27.17,"138,406.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-02-08
1,9.74,"49,608.44",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-02-08
1,59.34,"302,245.27",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-02-15
1,27.17,"138,406.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-02-15
1,9.74,"49,608.44",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-02-15
1,56.96,"290,144.11",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-02-22
1,27.17,"138,406.70",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-02-22
1,9.74,"49,608.26",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-02-22
1,51.90,"264,362.78",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-02-29
1,20.60,"104,911.52",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-02-29
1,8.66,"44,136.36",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-02-29
1,50.31,"256,278.14",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-03-07
1,14.61,"74,428.35",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-03-07
1,8.66,"44,135.64",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-03-07
1,35.88,"182,737.27",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-03-14
1,12.82,"65,305.82",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-03-14
1,8.79,"44,773.37",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-03-14
1,35.22,"179,413.35",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-03-21
1,12.82,"65,307.21",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-03-21
1,8.79,"44,773.37",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-03-21
1,30.62,"155,966.36",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-03-28
1,11.92,"60,716.32",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-03-28
1,7.87,"40,078.89",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-03-28
1,31.06,"158,218.17",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-04-04
1,13.44,"68,463.04",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-04-04
1,10.86,"55,320.39",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-04-04
1,32.56,"165,838.10",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-04-11
1,13.44,"68,463.32",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-04-11
1,9.23,"47,024.53",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-04-11
1,43.46,"221,364.36",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-04-18
1,13.45,"68,492.26",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-04-18
1,9.82,"50,024.27",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-04-18
1,30.67,"156,233.88",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-04-25
1,13.18,"67,125.17",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-04-25
1,7.67,"39,059.61",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-04-25
1,30.83,"157,027.43",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-02
1,12.81,"65,240.64",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-02
1,6.63,"33,776.24",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-02
1,29.27,"149,076.05",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-09
1,12.72,"64,809.36",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-09
1,6.45,"32,867.02",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-09
1,28.10,"143,106.82",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-16
1,12.91,"65,734.23",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-16
1,6.74,"34,307.43",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-16
1,26.35,"134,196.24",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-23
1,10.60,"53,975.97",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-23
1,7.24,"36,865.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-23
1,1.11,"5,676.52",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-05-23
1,21.66,"110,334.67",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-30
1,10.13,"51,575.30",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-30
1,5.25,"26,758.20",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-30
1,0.62,"3,143.72",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-05-30
1,29.84,"151,979.05",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-06
1,10.34,"52,672.80",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-06
1,5.36,"27,292.60",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-06
1,1.15,"5,873.23",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-06-06
1,47.28,"240,835.76",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-13
1,12.50,"63,678.33",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-13
1,7.83,"39,903.15",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-13
