AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,51.00,"1,533,873.12","160,496,250.02",52.51,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-01-04
CONUS,23.35,"702,299.95","85,373,589.15",27.93,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-01-04
CONUS,9.45,"284,227.01","30,085,945.20",9.84,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-01-04
CONUS,61.80,"1,858,588.87","174,150,523.45",56.97,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-01-11
CONUS,24.93,"749,753.15","85,356,618.50",27.92,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-01-11
CONUS,9.90,"297,677.42","28,325,596.21",9.27,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-01-11
CONUS,67.80,"2,038,994.99","182,755,733.66",59.79,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-01-18
CONUS,25.91,"779,138.33","86,768,613.69",28.39,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-01-18
CONUS,10.38,"312,263.76","29,312,406.84",9.59,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-01-18
CONUS,69.26,"2,082,990.85","181,161,863.47",59.27,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-01-25
CONUS,25.48,"766,340.52","84,756,977.25",27.73,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-01-25
CONUS,10.11,"304,200.96","27,023,623.53",8.84,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-01-25
CONUS,65.01,"1,955,041.85","175,305,376.42",57.35,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-02-01
CONUS,28.97,"871,261.80","88,183,593.34",28.85,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-02-01
CONUS,10.22,"307,232.61","24,551,387.01",8.03,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-02-01
CONUS,63.93,"1,922,656.01","173,921,611.59",56.90,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-02-08
CONUS,29.39,"884,008.04","88,180,167.86",28.85,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-02-08
CONUS,11.03,"331,731.39","27,103,101.28",8.87,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-02-08
CONUS,63.15,"1,899,110.16","172,582,276.31",56.46,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-02-15
CONUS,31.94,"960,722.60","94,362,121.51",30.87,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-02-15
CONUS,10.93,"328,689.88","25,822,691.23",8.45,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-02-15
CONUS,56.65,"1,703,840.60","158,050,739.32",51.71,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-02-22
CONUS,30.72,"923,779.21","89,354,154.72",29.23,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-02-22
CONUS,10.95,"329,211.03","25,020,056.02",8.19,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-02-22
CONUS,54.54,"1,640,313.14","154,436,781.51",50.52,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-02-29
CONUS,32.56,"979,172.71","91,047,140.54",29.79,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-02-29
