MapDate,Name,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20231010,California,93.98,6.02,0.07,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231010,Caribbean,58.74,41.26,12.40,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231010,Midwest,14.75,85.25,57.86,23.88,6.68,0.38,2023-10-10,2023-10-16,1
20231010,Northeast,83.24,16.76,2.47,0.27,0.00,0.00,2023-10-10,2023-10-16,1
20231010,Northern Forests\n,35.77,64.23,40.86,16.64,4.63,0.26,2023-10-10,2023-10-16,1
20231010,Northwest,80.36,19.64,14.13,7.25,1.31,0.00,2023-10-10,2023-10-16,1
20231010,Nothern Plains\n,62.69,37.31,24.19,12.60,2.72,0.63,2023-10-10,2023-10-16,1
20231010,Southeast,30.68,69.32,40.23,21.66,13.26,8.57,2023-10-10,2023-10-16,1
20231010,Southern Plains\n,15.66,84.34,68.04,49.94,23.45,4.31,2023-10-10,2023-10-16,1
20231010,Southwest,54.52,45.48,31.95,20.04,7.96,1.40,2023-10-10,2023-10-16,1
20231003,California,94.01,5.99,0.07,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20231003,Caribbean,52.86,47.14,13.66,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20231003,Midwest,12.85,87.15,58.83,24.84,6.96,0.38,2023-10-03,2023-10-09,1
20231003,Northeast,82.98,17.02,2.40,0.43,0.00,0.00,2023-10-03,2023-10-09,1
20231003,Northern Forests\n,34.38,65.62,41.51,17.35,4.82,0.26,2023-10-03,2023-10-09,1
20231003,Northwest,80.15,19.85,14.27,7.53,1.31,0.00,2023-10-03,2023-10-09,1
20231003,Nothern Plains\n,63.59,36.41,24.36,12.93,2.82,0.63,2023-10-03,2023-10-09,1
20231003,Southeast,36.21,63.79,37.23,20.07,13.26,7.62,2023-10-03,2023-10-09,1
20231003,Southern Plains\n,13.96,86.04,71.48,54.35,30.06,8.44,2023-10-03,2023-10-09,1
20231003,Southwest,54.71,45.29,31.21,19.54,7.96,1.40,2023-10-03,2023-10-09,1
20230926,California,94.01,5.99,0.07,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230926,Caribbean,52.86,47.14,13.66,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230926,Midwest,14.87,85.13,57.63,25.91,6.75,0.14,2023-09-26,2023-10-02,1
20230926,Northeast,88.48,11.52,1.44,0.08,0.00,0.00,2023-09-26,2023-10-02,1
20230926,Northern Forests\n,37.47,62.53,40.38,17.98,4.68,0.10,2023-09-26,2023-10-02,1
20230926,Northwest,80.15,19.85,14.48,7.82,1.55,0.00,2023-09-26,2023-10-02,1
20230926,Nothern Plains\n,62.93,37.07,24.15,12.79,4.32,0.63,2023-09-26,2023-10-02,1
20230926,Southeast,46.18,53.82,28.41,17.98,12.44,7.18,2023-09-26,2023-10-02,1
20230926,Southern Plains\n,11.34,88.66,71.74,52.07,30.40,8.38,2023-09-26,2023-10-02,1
20230926,Southwest,55.08,44.92,30.65,18.31,7.62,1.40,2023-09-26,2023-10-02,1
20230919,California,93.53,6.47,0.24,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230919,Caribbean,56.12,43.88,8.25,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230919,Midwest,19.08,80.92,54.81,33.04,12.55,1.53,2023-09-19,2023-09-25,1
20230919,Northeast,86.71,13.29,2.57,0.09,0.00,0.00,2023-09-19,2023-09-25,1
20230919,Northern Forests\n,39.84,60.16,38.77,22.92,8.69,1.06,2023-09-19,2023-09-25,1
20230919,Northwest,80.15,19.85,14.48,7.81,1.55,0.00,2023-09-19,2023-09-25,1
20230919,Nothern Plains\n,61.18,38.82,26.06,13.78,4.81,0.64,2023-09-19,2023-09-25,1
20230919,Southeast,50.19,49.81,24.34,15.82,12.25,7.01,2023-09-19,2023-09-25,1
20230919,Southern Plains\n,10.45,89.55,73.38,54.03,32.29,10.50,2023-09-19,2023-09-25,1
20230919,Southwest,55.17,44.83,30.69,17.40,7.32,0.00,2023-09-19,2023-09-25,1
20230912,California,93.54,6.46,0.22,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230912,Caribbean,83.25,16.75,8.25,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230912,Midwest,25.04,74.96,52.26,32.09,10.96,0.47,2023-09-12,2023-09-18,1
20230912,Northeast,92.77,7.23,2.39,0.09,0.00,0.00,2023-09-12,2023-09-18,1
20230912,Northern Forests\n,45.84,54.16,36.95,22.26,7.60,0.33,2023-09-12,2023-09-18,1
20230912,Northwest,75.61,24.39,14.71,6.13,0.41,0.00,2023-09-12,2023-09-18,1
20230912,Nothern Plains\n,60.50,39.50,26.18,14.12,4.75,0.18,2023-09-12,2023-09-18,1
20230912,Southeast,63.83,36.17,19.96,13.61,9.19,3.41,2023-09-12,2023-09-18,1
